"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbvtcwq   ","P",09/12/1995 10:45,1,0,"",22.8,<4> ,30.36,<4> ,18.8,<4> ,97.5,<4> ,7.5,<4> ,0.77,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 11:00,1,0,"",23.0,<4> ,30.76,<4> ,19.1,<4> ,98.3,<4> ,7.6,<4> ,0.80,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 11:15,1,0,"",23.2,<4> ,31.02,<4> ,19.3,<4> ,99.7,<4> ,7.6,<4> ,0.83,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 11:30,1,0,"",23.3,<4> ,31.14,<4> ,19.4,<4> ,100.5,<4> ,7.7,<4> ,0.85,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 11:45,1,0,"",23.6,<4> ,31.32,<4> ,19.5,<4> ,102.3,<4> ,7.8,<4> ,0.87,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 12:00,1,0,"",23.7,<4> ,31.40,<4> ,19.6,<4> ,103.2,<4> ,7.8,<4> ,0.89,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 12:15,1,0,"",23.8,<4> ,31.51,<4> ,19.6,<4> ,103.8,<4> ,7.8,<4> ,0.89,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 12:30,1,0,"",23.9,<4> ,31.59,<4> ,19.7,<4> ,104.2,<4> ,7.9,<4> ,0.90,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 12:45,1,0,"",24.0,<4> ,31.61,<4> ,19.7,<4> ,105.3,<4> ,7.9,<4> ,0.89,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 13:00,1,0,"",24.0,<4> ,31.60,<4> ,19.7,<4> ,105.9,<4> ,8.0,<4> ,0.87,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 13:15,1,0,"",24.1,<4> ,31.60,<4> ,19.7,<4> ,104.5,<4> ,7.9,<4> ,0.84,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 13:30,1,0,"",24.3,<4> ,31.62,<4> ,19.7,<4> ,107.0,<4> ,8.0,<4> ,0.80,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 13:45,1,0,"",24.2,<4> ,31.55,<4> ,19.6,<4> ,104.7,<4> ,7.9,<4> ,0.76,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 14:00,1,0,"",24.2,<4> ,31.50,<4> ,19.6,<4> ,103.9,<4> ,7.8,<4> ,0.70,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 14:15,1,0,"",24.1,<4> ,31.40,<4> ,19.5,<4> ,103.3,<4> ,7.8,<4> ,0.66,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 14:30,1,0,"",24.0,<4> ,31.29,<4> ,19.5,<4> ,101.9,<4> ,7.7,<4> ,0.61,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 14:45,1,0,"",24.0,<4> ,31.16,<4> ,19.4,<4> ,100.2,<4> ,7.6,<4> ,0.56,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 15:00,1,0,"",23.9,<4> ,31.01,<4> ,19.3,<4> ,98.5,<4> ,7.4,<4> ,0.52,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 15:15,1,0,"",23.9,<4> ,30.81,<4> ,19.1,<4> ,97.3,<4> ,7.4,<4> ,0.46,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 15:30,1,0,"",23.8,<4> ,30.52,<4> ,18.9,<4> ,96.2,<4> ,7.3,<4> ,0.41,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 15:45,1,0,"",23.8,<4> ,30.14,<4> ,18.7,<4> ,95.2,<4> ,7.2,<4> ,0.36,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 16:00,1,0,"",23.8,<4> ,29.76,<4> ,18.4,<4> ,94.4,<4> ,7.2,<4> ,0.31,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 16:15,1,0,"",23.7,<4> ,29.37,<4> ,18.2,<4> ,93.4,<4> ,7.1,<4> ,0.27,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 16:30,1,0,"",23.7,<4> ,28.92,<4> ,17.9,<4> ,92.6,<4> ,7.1,<4> ,0.24,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 16:45,1,0,"",23.7,<4> ,28.49,<4> ,17.6,<4> ,92.1,<4> ,7.1,<4> ,0.20,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 17:00,1,0,"",23.7,<4> ,27.99,<4> ,17.2,<4> ,92.4,<4> ,7.1,<4> ,0.17,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 17:15,1,0,"",23.7,<4> ,27.43,<4> ,16.9,<4> ,93.2,<4> ,7.2,<4> ,0.14,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 17:30,1,0,"",23.7,<4> ,26.91,<4> ,16.5,<4> ,93.9,<4> ,7.2,<4> ,0.12,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 17:45,1,0,"",23.7,<4> ,26.41,<4> ,16.2,<4> ,94.5,<4> ,7.3,<4> ,0.09,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 18:00,1,0,"",23.6,<4> ,26.04,<4> ,15.9,<4> ,94.8,<4> ,7.3,<4> ,0.07,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 18:15,1,0,"",23.6,<4> ,25.79,<4> ,15.8,<4> ,94.6,<4> ,7.3,<4> ,0.06,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 18:30,1,0,"",23.6,<4> ,25.56,<4> ,15.6,<4> ,94.3,<4> ,7.3,<4> ,0.05,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 18:45,1,0,"",23.6,<4> ,25.42,<4> ,15.5,<4> ,93.8,<4> ,7.3,<4> ,0.05,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 19:00,1,0,"",23.5,<4> ,25.31,<4> ,15.4,<4> ,93.6,<4> ,7.3,<4> ,0.04,<4> ,"","","",<-1> ,"","",7.5,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 19:15,1,0,"",23.5,<4> ,25.27,<4> ,15.4,<4> ,93.8,<4> ,7.3,<4> ,0.05,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 19:30,1,0,"",23.5,<4> ,25.34,<4> ,15.5,<4> ,87.7,<4> ,6.8,<4> ,0.06,<4> ,"","","",<-1> ,"","",7.5,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 19:45,1,0,"",23.5,<4> ,25.52,<4> ,15.6,<4> ,87.4,<4> ,6.8,<4> ,0.08,<4> ,"","","",<-1> ,"","",7.5,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 20:00,1,0,"",23.5,<4> ,25.73,<4> ,15.7,<4> ,88.2,<4> ,6.9,<4> ,0.10,<4> ,"","","",<-1> ,"","",7.5,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 20:15,1,0,"",23.5,<4> ,26.14,<4> ,16.0,<4> ,87.9,<4> ,6.8,<4> ,0.13,<4> ,"","","",<-1> ,"","",7.5,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 20:30,1,0,"",23.5,<4> ,27.18,<4> ,16.7,<4> ,86.2,<4> ,6.7,<4> ,0.16,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 20:45,1,0,"",23.5,<4> ,28.75,<4> ,17.7,<4> ,86.9,<4> ,6.7,<4> ,0.19,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 21:00,1,0,"",23.4,<4> ,29.33,<4> ,18.1,<4> ,89.7,<4> ,6.9,<4> ,0.23,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 21:15,1,0,"",23.4,<4> ,29.75,<4> ,18.4,<4> ,90.0,<4> ,6.9,<4> ,0.27,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 21:30,1,0,"",23.3,<4> ,29.84,<4> ,18.5,<4> ,90.2,<4> ,6.9,<4> ,0.31,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 21:45,1,0,"",23.3,<4> ,29.82,<4> ,18.5,<4> ,89.4,<4> ,6.9,<4> ,0.36,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 22:00,1,0,"",23.1,<4> ,29.74,<4> ,18.4,<4> ,88.3,<4> ,6.8,<4> ,0.41,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 22:15,1,0,"",23.1,<4> ,29.72,<4> ,18.4,<4> ,87.7,<4> ,6.8,<4> ,0.45,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbvtcwq   ","P",09/12/1995 22:30,1,0,"",23.1,<4> ,29.75,<4> ,18.4,<4> ,88.7,<4> ,6.8,<4> ,0.50,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
