"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbvshwq   ","P",01/01/2017 0:00,0,1,"",6.5,<0> ,0.48,<0> ,0.2,<0> ,91.8,<0> ,11.3,<0> ,1.59,<0> ,1.56,<3> ,"",<-1> ,"","",7.2,<0> ,94,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 0:15,0,1,"",6.5,<0> ,0.52,<0> ,0.3,<0> ,91.9,<0> ,11.3,<0> ,1.63,<0> ,1.60,<3> ,"",<-1> ,"","",7.2,<0> ,88,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 0:30,0,1,"",6.5,<0> ,0.54,<0> ,0.3,<0> ,91.8,<0> ,11.3,<0> ,1.68,<0> ,1.65,<3> ,"",<-1> ,"","",7.2,<0> ,84,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 0:45,0,1,"",6.6,<0> ,0.58,<0> ,0.3,<0> ,91.8,<0> ,11.3,<0> ,1.72,<0> ,1.69,<3> ,"",<-1> ,"","",7.2,<0> ,83,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 1:00,0,1,"",6.6,<0> ,0.62,<0> ,0.3,<0> ,91.8,<0> ,11.2,<0> ,1.74,<0> ,1.71,<3> ,"",<-1> ,"","",7.2,<0> ,84,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 1:15,0,1,"",6.6,<0> ,0.70,<0> ,0.3,<0> ,91.8,<0> ,11.2,<0> ,1.77,<0> ,1.74,<3> ,"",<-1> ,"","",7.2,<0> ,85,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 1:30,0,1,"",6.6,<0> ,0.78,<0> ,0.4,<0> ,91.6,<0> ,11.2,<0> ,1.78,<0> ,1.75,<3> ,"",<-1> ,"","",7.2,<0> ,88,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 1:45,0,1,"",6.7,<0> ,0.91,<0> ,0.5,<0> ,91.6,<0> ,11.2,<0> ,1.79,<0> ,1.76,<3> ,"",<-1> ,"","",7.2,<0> ,94,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 2:00,0,1,"",6.7,<0> ,0.98,<0> ,0.5,<0> ,91.5,<0> ,11.2,<0> ,1.80,<0> ,1.76,<3> ,"",<-1> ,"","",7.2,<0> ,86,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 2:15,0,1,"",6.7,<0> ,1.06,<0> ,0.5,<0> ,91.5,<0> ,11.2,<0> ,1.79,<0> ,1.75,<3> ,"",<-1> ,"","",7.2,<0> ,87,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 2:30,0,1,"",6.7,<0> ,1.20,<0> ,0.6,<0> ,91.3,<0> ,11.1,<0> ,1.78,<0> ,1.74,<3> ,"",<-1> ,"","",7.2,<0> ,90,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 2:45,0,1,"",6.7,<0> ,1.33,<0> ,0.7,<0> ,91.2,<0> ,11.1,<0> ,1.76,<0> ,1.72,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 3:00,0,1,"",6.7,<0> ,1.38,<0> ,0.7,<0> ,91.1,<0> ,11.1,<0> ,1.74,<0> ,1.70,<3> ,"",<-1> ,"","",7.2,<0> ,71,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 3:15,0,1,"",6.7,<0> ,1.36,<0> ,0.7,<0> ,91.2,<0> ,11.1,<0> ,1.71,<0> ,1.67,<3> ,"",<-1> ,"","",7.2,<0> ,67,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 3:30,0,1,"",6.7,<0> ,1.30,<0> ,0.7,<0> ,91.0,<0> ,11.1,<0> ,1.68,<0> ,1.64,<3> ,"",<-1> ,"","",7.2,<0> ,71,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 3:45,0,1,"",6.7,<0> ,1.35,<0> ,0.7,<0> ,91.2,<0> ,11.1,<0> ,1.66,<0> ,1.62,<3> ,"",<-1> ,"","",7.2,<0> ,70,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 4:00,0,1,"",6.7,<0> ,1.38,<0> ,0.7,<0> ,91.0,<0> ,11.1,<0> ,1.63,<0> ,1.59,<3> ,"",<-1> ,"","",7.2,<0> ,69,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 4:15,0,1,"",6.7,<0> ,1.35,<0> ,0.7,<0> ,91.1,<0> ,11.1,<0> ,1.60,<0> ,1.56,<3> ,"",<-1> ,"","",7.2,<0> ,74,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 4:30,0,1,"",6.7,<0> ,1.31,<0> ,0.7,<0> ,91.1,<0> ,11.1,<0> ,1.57,<0> ,1.53,<3> ,"",<-1> ,"","",7.2,<0> ,72,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 4:45,0,1,"",6.6,<0> ,1.15,<0> ,0.6,<0> ,91.3,<0> ,11.1,<0> ,1.54,<0> ,1.50,<3> ,"",<-1> ,"","",7.2,<0> ,69,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 5:00,0,1,"",6.7,<0> ,1.17,<0> ,0.6,<0> ,91.3,<0> ,11.1,<0> ,1.51,<0> ,1.47,<3> ,"",<-1> ,"","",7.2,<0> ,69,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 5:15,0,1,"",6.4,<0> ,0.67,<0> ,0.3,<0> ,91.5,<0> ,11.2,<0> ,1.47,<0> ,1.43,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 5:30,0,1,"",6.5,<0> ,0.58,<0> ,0.3,<0> ,91.6,<0> ,11.3,<0> ,1.44,<0> ,1.40,<3> ,"",<-1> ,"","",7.2,<0> ,80,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2017 5:45,0,1,"",6.4,<0> ,0.57,<0> ,0.3,<0> ,91.6,<0> ,11.3,<0> ,1.39,<0> ,1.34,<3> ,"",<-1> ,"","",7.2,<0> ,71,<0> ,"",<-1> ,
