"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvtcnut  ","P",01/20/2016 13:57,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS0}",0.037,<1> [SCC] ,0.144,<0>  ,0.0027,<0>  ,0.355,<0>  ,0.358,<0>  ,1.27,<0>  ,
"cbvtcnut  ","P",01/20/2016 13:58,1,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS0}",0.037,<0>  ,0.131,<0>  ,0.0027,<0>  ,0.339,<0>  ,0.342,<0>  ,1.33,<0>  ,
"cbvtcnut  ","P",01/26/2016 18:45,1,1,2         ,1         ,"",0.026,<0>  ,0.108,<0>  ,0.0016,<0>  ,0.311,<0>  ,0.313,<0>  ,1.0,<-4> [SBL] ,
"cbvtcnut  ","P",01/26/2016 21:15,1,1,2         ,1         ,"",0.026,<1> [SCC] ,0.092,<0>  ,0.0013,<0>  ,0.114,<0>  ,0.115,<0>  ,2.17,<0>  ,
"cbvtcnut  ","P",01/26/2016 23:45,1,1,2         ,1         ,"",0.026,<1> [SCC] ,0.106,<0>  ,0.0016,<0>  ,0.099,<0>  ,0.101,<0>  ,4.48,<0>  ,
"cbvtcnut  ","P",01/27/2016 2:15,1,1,2         ,1         ,"",0.024,<0>  ,0.102,<0>  ,0.0019,<0>  ,0.113,<0>  ,0.115,<0>  ,3.52,<0>  ,
"cbvtcnut  ","P",01/27/2016 4:45,1,1,2         ,1         ,"",0.029,<1> [SCC] ,0.105,<0>  ,0.0019,<0>  ,0.205,<0>  ,0.207,<0>  ,1.09,<0>  ,
"cbvtcnut  ","P",01/27/2016 7:15,1,1,2         ,1         ,"",0.033,<1> [SCC] ,0.133,<0>  ,0.0024,<0>  ,0.257,<0>  ,0.259,<0>  ,1.0,<-4> [SBL] ,
"cbvtcnut  ","P",01/27/2016 9:45,1,1,2         ,1         ,"",0.023,<0>  ,0.082,<0>  ,0.0013,<0>  ,0.099,<0>  ,0.1,<0>  ,8.7,<0>  ,
"cbvtcnut  ","P",01/27/2016 12:15,1,1,2         ,1         ,"",0.024,<0>  ,0.092,<0>  ,0.0016,<0>  ,0.112,<0>  ,0.114,<0>  ,5.44,<0>  ,
"cbvtcnut  ","P",01/27/2016 14:45,1,1,2         ,1         ,"",0.023,<1> [SCC] ,0.09,<0>  ,0.0016,<0>  ,0.129,<0>  ,0.131,<0>  ,1.59,<0>  ,
"cbvtcnut  ","P",01/27/2016 17:15,1,1,2         ,1         ,"",0.03,<0>  ,0.094,<0>  ,0.0021,<0>  ,0.224,<0>  ,0.226,<0>  ,1.0,<-4> [SBL] ,
"cbvtcnut  ","P",01/27/2016 19:45,1,1,2         ,1         ,"",0.032,<0>  ,0.101,<0>  ,0.0024,<0>  ,0.27,<0>  ,0.272,<0>  ,1.0,<-4> [SBL] ,
"cbvtcnut  ","P",02/17/2016 13:00,1,1,2         ,1         ,"",0.025,<0>  ,0.07,<0>  ,0.0030,<0>  ,0.208,<0>  ,0.211,<0>  ,1.0,<-4> [SBL] ,
