"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvcbnut  ","P",01/11/2018 11:01,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SSW} {WS0}",0.0217,<0>  ,0.016,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<0>  ,6.88,<0>  ,
"cbvcbnut  ","P",01/11/2018 11:02,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {SSW} {WS0}",0.0234,<1> [SCC] ,0.0198,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0037,<0>  ,7.68,<0>  ,
"cbvcbnut  ","P",02/08/2018 9:31,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {NNW} {WS2}",0.015,<1> [SCC] ,0.0108,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,16.41,<0>  ,
"cbvcbnut  ","P",02/08/2018 9:32,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {NNW} {WS2}",0.015,<1> [SCC] ,0.0083,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,14.94,<0>  ,
"cbvcbnut  ","P",03/09/2018 8:37,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH3} {WSW} {WS2}",0.0023,<-4> [SBL] ,0.0283,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0033,<0>  ,16.03,<0>  ,
"cbvcbnut  ","P",03/09/2018 8:54,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH3} {WSW} {WS2}",0.0033,<0>  ,0.0348,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0039,<0>  ,13.42,<0>  ,
"cbvcbnut  ","P",04/11/2018 9:55,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {E} {WS1}",0.0056,<0>  ,0.0173,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0054,<0>  ,5.92,<0>  ,
"cbvcbnut  ","P",04/11/2018 9:56,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {E} {WS1}",0.0039,<0>  ,0.0166,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0044,<0>  ,5.83,<0>  ,
"cbvcbnut  ","P",05/07/2018 8:17,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH1} {N} {WS1}",0.0023,<-4> [SBL] ,0.0135,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,9.45,<0>  ,
"cbvcbnut  ","P",05/07/2018 8:18,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH1} {N} {WS1}",0.0037,<0>  ,0.0135,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,7.34,<0>  ,
"cbvcbnut  ","P",06/06/2018 8:25,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {NE} {WS1}",0.0171,<0>  ,0.0421,<0>  ,0.0059,<0>  ,0.0594,<0>  ,0.0653,<0>  ,22.89,<0>  ,
"cbvcbnut  ","P",06/06/2018 8:26,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {NE} {WS1}",0.018,<0>  ,0.0421,<0>  ,0.0059,<0>  ,0.0601,<0>  ,0.066,<0>  ,19.99,<0>  ,
"cbvcbnut  ","P",07/09/2018 9:33,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {NE} {WS1}",0.0273,<0>  ,0.0581,<0>  ,0.0014,<0>  ,0.0022,<0>  ,0.0036,<0>  ,13.49,<0>  ,
"cbvcbnut  ","P",07/09/2018 9:34,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {NE} {WS1}",0.0264,<0>  ,0.056,<0>  ,0.0011,<0>  ,0.0028,<0>  ,0.0039,<0>  ,11.41,<0>  ,
"cbvcbnut  ","P",08/06/2018 9:03,0,1,1         ,1         ,"{CHY} {PNP} {TSE} {WH0} {W} {WS0}",0.0384,<0>  ,0.0211,<0>  ,0.0548,<0>  ,0.0071,<0>  ,0.0619,<0>  ,18.0,<0>  ,
"cbvcbnut  ","P",08/06/2018 9:04,0,1,1         ,2         ,"{CHY} {PNP} {TSE} {WH0} {W} {WS0}",0.0301,<0>  ,0.0161,<0>  ,0.0526,<0>  ,0.0065,<0>  ,0.0591,<0>  ,15.83,<0>  ,
"cbvcbnut  ","P",09/05/2018 9:36,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {WS0}",0.0406,<0>  ,0.0249,<0>  ,0.0944,<0>  ,0.0162,<0>  ,0.1106,<0>  ,15.28,<0>  ,
"cbvcbnut  ","P",09/05/2018 9:37,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {WS0}",0.0406,<0>  ,0.022,<0>  ,0.0981,<0>  ,0.0151,<0>  ,0.1132,<0>  ,11.25,<0>  ,
"cbvcbnut  ","P",10/03/2018 8:25,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {WSW} {WS0}",0.0423,<1> [SCC] ,0.0258,<0>  ,0.1406,<0>  ,0.1248,<0>  ,0.2654,<0>  ,11.33,<0>  ,
"cbvcbnut  ","P",10/03/2018 8:26,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {WSW} {WS0}",0.0423,<1> [SCC] ,0.0228,<0>  ,0.1364,<0>  ,0.1245,<0>  ,0.2609,<0>  ,13.69,<0>  ,
"cbvcbnut  ","P",11/01/2018 8:54,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH2} {SW} {WS2}",0.0275,<0>  ,0.0562,<0>  ,0.1406,<0>  ,0.0406,<0>  ,0.1812,<0>  ,12.37,<0>  ,
"cbvcbnut  ","P",11/01/2018 8:55,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {WH2} {SW} {WS2}",0.0291,<0>  ,0.0505,<0>  ,0.1364,<0>  ,0.0265,<0>  ,0.1629,<0>  ,11.1,<0>  ,
"cbvcbnut  ","P",12/03/2018 10:19,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH1} {W} {WS1}",0.0212,<0>  ,0.0849,<0>  ,0.0043,<0>  ,0.1513,<0>  ,0.1556,<0>  ,12.26,<0>  ,
"cbvcbnut  ","P",12/03/2018 10:20,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {WH1} {W} {WS1}",0.0246,<1> [SCC] ,0.0883,<0>  ,0.0046,<0>  ,0.1462,<0>  ,0.1508,<0>  ,9.59,<0>  ,

