"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvshnut  ","P",01/04/2012 13:10,1,1,1         ,1         ,"{WS0} {SSE} {WH0} {TSE} {PNP} {CCL}",0.019,<1> [SCC] ,0.065,<0>  ,0.0050,<0>  ,0.335,<0>  ,0.34,<0>  ,1.36,<0>  ,
"cbvshnut  ","P",01/04/2012 13:12,1,1,1         ,2         ,"{WS0} {SSE} {WH0} {TSE} {PNP} {CCL}",0.016,<1> [SCC] ,0.101,<0>  ,0.0052,<0>  ,0.385,<0>  ,0.39,<0>  ,1.09,<0>  ,
"cbvshnut  ","P",02/02/2012 12:23,1,1,1         ,1         ,"{WS0} {WNW} {WH0} {TSE} {PNP} {CSP}",0.013,<0>  ,0.07,<0>  ,0.0049,<0>  ,0.382,<0>  ,0.387,<0>  ,1.94,<0>  ,
"cbvshnut  ","P",02/02/2012 12:24,1,1,1         ,2         ,"{WS0} {WNW} {WH0} {TSE} {PNP} {CSP}",0.016,<0>  ,0.066,<0>  ,0.0046,<0>  ,0.439,<0>  ,0.444,<0>  ,1.94,<0>  ,
"cbvshnut  ","P",03/05/2012 14:08,1,1,1         ,1         ,"{WS0} {ENE} {WH0} {TSE} {PSR} {COC}",0.016,<0>  ,0.052,<0>  ,0.0022,<0>  ,0.315,<0>  ,0.317,<0>  ,5.06,<0>  ,
"cbvshnut  ","P",03/05/2012 14:10,1,1,1         ,2         ,"{WS0} {ENE} {WH0} {TSE} {PSR} {COC}",0.015,<0>  ,0.05,<0>  ,0.0019,<0>  ,0.356,<0>  ,0.358,<0>  ,4.24,<0>  ,
"cbvshnut  ","P",04/03/2012 15:09,1,1,1         ,1         ,"{WS0} {N} {WH0} {TSE} {PNP} {CCL}",0.027,<1> [SCC] ,0.042,<0>  ,0.0021,<0>  ,0.14,<0>  ,0.142,<0>  ,8.93,<0>  ,
"cbvshnut  ","P",04/03/2012 15:10,1,1,1         ,2         ,"{WS0} {N} {WH0} {TSE} {PNP} {CCL}",0.029,<1> [SCC] ,0.039,<0>  ,0.0021,<0>  ,0.183,<0>  ,0.185,<0>  ,9.67,<0>  ,
"cbvshnut  ","P",05/02/2012 12:40,1,1,1         ,1         ,"{WS0} {SSE} {WH0} {TSE} {PNP} {CSP}",0.02,<0>  ,0.036,<0>  ,0.0025,<0>  ,0.062,<0>  ,0.065,<0>  ,20.6,<0>  ,
"cbvshnut  ","P",05/02/2012 12:42,1,1,1         ,2         ,"{WS0} {SSE} {WH0} {TSE} {PNP} {CSP}",0.02,<0>  ,0.029,<0>  ,0.0024,<0>  ,0.064,<0>  ,0.066,<0>  ,21.44,<0>  ,
