"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvshnut  ","P",01/08/2013 13:24,0,1,1         ,1         ,"{PNP} {TSE} {WH0} {ESE} {WS0} {COC}",0.012,<0>  ,0.112,<0>  ,0.0010,<0>  ,0.16,<0>  ,0.161,<0>  ,2.83,<0>  ,
"cbvshnut  ","P",01/08/2013 13:25,0,1,1         ,2         ,"{PNP} {TSE} {WH0} {ESE} {WS0} {COC}",0.012,<1> [SCC] ,0.111,<0>  ,0.0010,<0>  ,0.177,<0>  ,0.178,<0>  ,0.0,<-2> [GDM] ,
"cbvshnut  ","P",02/05/2013 12:36,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {E} {WS0}",0.018,<0>  ,0.099,<0>  ,0.0040,<0>  ,0.262,<0>  ,0.266,<0>  ,2.83,<0>  ,
"cbvshnut  ","P",03/21/2013 12:23,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {NNW} {WS0}",0.02,<0>  ,0.09,<0>  ,0.0030,<0>  ,0.215,<0>  ,0.218,<0>  ,5.16,<0>  ,
"cbvshnut  ","P",03/21/2013 12:25,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH0} {NNW} {WS0}",0.02,<0>  ,0.061,<0>  ,0.0030,<0>  ,0.239,<0>  ,0.242,<0>  ,5.16,<0>  ,
"cbvshnut  ","P",04/18/2013 12:34,0,1,1         ,1         ,"{PNP} {TSE} {WH1} {SE} {WS1} {COC}",0.028,<0>  ,0.042,<0>  ,0.0030,<0>  ,0.186,<0>  ,0.189,<0>  ,7.01,<0>  ,
"cbvshnut  ","P",04/18/2013 12:35,0,1,1         ,2         ,"{PNP} {TSE} {WH1} {SE} {WS1} {COC}",0.028,<0>  ,0.047,<0>  ,0.0020,<0>  ,0.219,<0>  ,0.221,<0>  ,7.75,<0>  ,
"cbvshnut  ","P",05/17/2013 11:20,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS0}",0.02,<0>  ,0.051,<0>  ,0.0040,<0>  ,0.214,<0>  ,0.218,<0>  ,7.14,<0>  ,
"cbvshnut  ","P",05/17/2013 11:21,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS0}",0.021,<0>  ,0.047,<0>  ,0.0040,<0>  ,0.218,<0>  ,0.222,<0>  ,7.14,<0>  ,
"cbvshnut  ","P",06/17/2013 11:24,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {NW} {WS0}",0.039,<0>  ,0.049,<0>  ,0.0070,<0>  ,0.19,<0>  ,0.197,<0>  ,9.68,<0>  ,
"cbvshnut  ","P",06/17/2013 11:25,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH0} {NW} {WS0}",0.038,<0>  ,0.06,<0>  ,0.0070,<0>  ,0.204,<0>  ,0.211,<0>  ,9.43,<0>  ,
"cbvshnut  ","P",07/16/2013 10:39,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SW} {WS1}",0.037,<0>  ,0.028,<0>  ,0.0020,<0>  ,0.163,<0>  ,0.165,<0>  ,16.92,<0>  ,
"cbvshnut  ","P",07/16/2013 10:40,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {SW} {WS1}",0.034,<0>  ,0.029,<0>  ,0.0020,<0>  ,0.223,<0>  ,0.225,<0>  ,16.33,<0>  ,
"cbvshnut  ","P",08/15/2013 10:30,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {NE} {WS0}",0.022,<0>  ,0.016,<0>  ,0.0010,<0>  ,"",<-4> [SCB] ,0.0027,<-4> [SBL] ,22.34,<0>  ,
"cbvshnut  ","P",08/15/2013 10:31,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH0} {NE} {WS0}",0.023,<0>  ,0.02,<0>  ,0.0010,<0>  ,"",<-4> [SCB] ,0.0027,<-4> [SBL] ,29.31,<0>  ,
"cbvshnut  ","P",09/13/2013 11:31,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {NE} {WS2}",0.033,<0>  ,0.021,<0>  ,0.0020,<0>  ,0.0080,<0>  ,0.01,<0>  ,20.73,<0>  ,
"cbvshnut  ","P",09/13/2013 11:32,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {NE} {WS2}",0.033,<0>  ,0.02,<0>  ,0.0020,<0>  ,0.0090,<0>  ,0.011,<0>  ,18.16,<0>  ,
"cbvshnut  ","P",10/14/2013 12:37,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH2} {NE} {WS1}",0.023,<0>  ,0.026,<0>  ,0.0010,<0>  ,0.028,<0>  ,0.029,<0>  ,8.1,<0>  ,
"cbvshnut  ","P",10/14/2013 12:38,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH2} {NE} {WS1}",0.026,<1> [SCC] ,0.036,<0>  ,0.0020,<0>  ,0.039,<0>  ,0.041,<0>  ,8.29,<0>  ,
"cbvshnut  ","P",11/11/2013 12:03,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {WSW} {WS1}",0.024,<0>  ,0.028,<0>  ,0.0010,<0>  ,0.054,<0>  ,0.055,<0>  ,16.44,<0>  ,
"cbvshnut  ","P",11/11/2013 12:05,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {WSW} {WS1}",0.014,<0>  ,0.022,<0>  ,0.0010,<0>  ,0.055,<0>  ,0.056,<0>  ,15.94,<0>  ,
"cbvshnut  ","P",12/11/2013 11:38,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {NE} {WS0}",0.022,<0>  ,0.09,<0>  ,0.0020,<0>  ,0.23,<0>  ,0.232,<0>  ,1.0,<-4> [SBL] ,
"cbvshnut  ","P",12/11/2013 11:39,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {NE} {WS0}",0.017,<0>  ,0.071,<0>  ,0.0020,<0>  ,0.235,<0>  ,0.237,<0>  ,1.0,<-4> [SBL] ,

