"","Signal","Predictor","MAE","RMSE","NSE","MAE","RMSE","NSE","MAE","RMSE","NSE","MAE","RMSE","NSE"
"1","nh4","met",0.02,0.04,0.44,0.06,0.09,0.54,0.02,0.03,0.54,0.05,0.08,0.63
"2","nh4","wq",0.02,0.03,0.6,0.05,0.06,0.78,0.02,0.03,0.65,0.04,0.06,0.83
"3","nh4","all",0.02,0.03,0.59,0.06,0.09,0.67,0.02,0.03,0.67,0.05,0.08,0.73
"4","po4","met",0.01,0.01,0.63,0.01,0.01,0.32,0.01,0.01,0.63,0.01,0.01,0.39
"5","po4","wq",0.01,0.01,0.74,0.01,0.01,0.47,0.01,0.01,0.74,0,0.01,0.53
"6","po4","all",0.01,0.01,0.73,0,0.01,0.5,0.01,0.01,0.76,0,0.01,0.53
"7","no3","met",0.04,0.06,0.48,0.57,0.98,0.62,0.03,0.06,0.57,0.48,0.9,0.68
"8","no3","wq",0.03,0.04,0.78,0.49,0.8,0.73,0.03,0.04,0.78,0.42,0.76,0.75
"9","no3","all",0.03,0.04,0.8,0.63,1.03,0.63,0.03,0.04,0.76,0.56,0.96,0.68
"10","chla","met",7.14,10.16,0.39,9.92,17.64,0.56,6.61,10.54,0.5,8.31,16.37,0.62
"11","chla","wq",6.71,10.58,0.47,6.35,10.27,0.74,6.7,12.17,0.55,5.63,9.32,0.79
"12","chla","all",6.51,9.78,0.46,6.49,9.83,0.8,5.94,10.47,0.61,5.52,9.04,0.83
