"",".pred","actual"
"1",0.0827790499999999,0.061
"2",0.0588543166666666,0.056
"3",0.0657233333333333,0.066
"4",0.360592816666667,0.322
"5",0.43565,0.47
"6",0.472667099999999,0.587
"7",0.111375166666667,0.08
"8",0.14869875,0.0875
"9",0.272152783333334,0.267
"10",0.300009666666667,0.348
"11",0.346488433333333,0.365
"12",0.420099050000001,0.35
"13",0.455861383333333,0.383
"14",0.567835533333333,0.528
"15",0.544229393333335,0.679
"16",0.159720946666667,0.2795
"17",0.19716564,0.3145
"18",0.05542025,0.016
"19",0.142440733333333,0.014
"20",0.193775816666667,0.0195
"21",0.0438771166666666,0.071
"22",0.121702416666667,0.139
"23",0.0826375166666667,0.039
"24",0.0713894166666668,0.014
"25",0.0638616333333334,0.018
"26",0.135138566666667,0.1435
"27",0.22801825,0.1645
"28",0.33274245,0.38
"29",0.334670916666666,0.319
"30",0.337435816666667,0.372
"31",0.3408266,0.345
"32",0.357324400000001,0.336
"33",0.220968066666666,0.384
"34",0.128425616666667,0.084
"35",0.0603571,0.056
"36",0.0637728833333334,0.057
"37",0.0667012833333334,0.067
"38",0.0691539666666668,0.066
"39",0.194570716666667,0.014
"40",0.482180333333333,0.579
"41",0.289090466666666,0.434
"42",0.4556291,0.428
"43",0.334591183333334,0.166
"44",0.365862316666666,0.472
"45",0.12735925,0.059
"46",0.265057433333333,0.35
"47",0.330606466666666,0.325
"48",0.364042083333333,0.399
"49",0.376405150000001,0.315
"50",0.5653757,0.614
"51",0.2825186,0.263
"52",0.335724416666667,0.379
"53",0.399796283333333,0.4
"54",0.0872315466666666,0.067
"55",0.0632543599999999,0.014
"56",0.12376757,0.0585
"57",0.1197418,0.0445
"58",0.0621403666666668,0.0715
"59",0.107829233333333,0.092
"60",0.0754599166666668,0.095
"61",0.0441152166666667,0.026
"62",0.0474110499999999,0.046
"63",0.0364429499999999,0.014
"64",0.0391948833333332,0.014
"65",0.0983562,0.179
"66",0.108242916666667,0.08
"67",0.180710666666667,0.192
"68",0.07781935,0.071
"69",0.0951655833333332,0.06
"70",0.1008388,0.06
"71",0.0749289666666667,0.056
"72",0.0983637666666667,0.0705
"73",0.23312455,0.149
"74",0.283391366666667,0.264
"75",0.187032883333333,0.178
"76",0.201231866666667,0.169
"77",0.2730245,0.121
"78",0.1571629,0.0515
"79",0.128551983333333,0.1
"80",0.135620216666667,0.073
