"","Temp.mean","SpCond.mean","DO_mgl.mean","Depth.mean","pH.mean","Turb.mean","q_cfs.mean.5","sin_doy","nh4","no3","po4","chla"
"Temp.mean",0,0.0764508407213259,2.15570112550205e-05,0.155814024900979,0.0167786689485356,0.630847388220388,0.368353002060367,0.91326493466179,0.31801389746534,0.00280665032146634,0.792225371436039,0.00798592621730451
"SpCond.mean",0.0764508407213259,0,0.250464422935463,0.0130731324771264,0.605571330086373,0.72983142472079,0.796629605174701,0.749757391816329,0.983378075253277,0.0423971802752063,0.666637785200961,0.0854611592020564
"DO_mgl.mean",2.15570112550205e-05,0.250464422935463,0,0.178225682025124,0.00019827945870551,0.75661168166646,0.335519097509773,0.780174034603673,0.153159130595773,0.0270614368249495,0.641071789537475,0.0855941389449528
"Depth.mean",0.155814024900979,0.0130731324771264,0.178225682025124,0,0.233230138579757,0.466754080902753,0.386746668178183,0.946470242161572,0.370563329863498,0.0139101107158339,0.668572748946097,0.0831120621063671
"pH.mean",0.0167786689485356,0.605571330086373,0.00019827945870551,0.233230138579757,0,0.856206252597733,0.345966351224659,0.886945152265888,0.176652349750613,0.269038579426355,0.211233323817581,0.359122937473815
"Turb.mean",0.630847388220388,0.72983142472079,0.75661168166646,0.466754080902753,0.856206252597733,0,0.463048224090497,0.656001223713496,0.58597021640169,0.93325753337331,0.590583024305662,0.964490125506012
"q_cfs.mean.5",0.368353002060367,0.796629605174701,0.335519097509773,0.386746668178183,0.345966351224659,0.463048224090497,0,0.239906370908153,0.0657590168083981,0.675715389467269,0.744967769702217,0.935257447582988
"sin_doy",0.91326493466179,0.749757391816329,0.780174034603673,0.946470242161572,0.886945152265888,0.656001223713496,0.239906370908153,0,0.490399370454772,0.575363008421595,0.426350381686394,0.597673683918503
"nh4",0.31801389746534,0.983378075253277,0.153159130595773,0.370563329863498,0.176652349750613,0.58597021640169,0.0657590168083981,0.490399370454772,0,0.815499228492299,0.904995784522213,0.9515489619974
"no3",0.00280665032146634,0.0423971802752063,0.0270614368249495,0.0139101107158339,0.269038579426355,0.93325753337331,0.675715389467269,0.575363008421595,0.815499228492299,0,0.272243544102533,0.00202181402948833
"po4",0.792225371436039,0.666637785200961,0.641071789537475,0.668572748946097,0.211233323817581,0.590583024305662,0.744967769702217,0.426350381686394,0.904995784522213,0.272243544102533,0,0.104238539849756
"chla",0.00798592621730451,0.0854611592020564,0.0855941389449528,0.0831120621063671,0.359122937473815,0.964490125506012,0.935257447582988,0.597673683918503,0.9515489619974,0.00202181402948833,0.104238539849756,0
