"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"owcowmet  ","P",05/01/2001 0:15,1,1,15,"",16.1,<4> ,42,<4> ,996,<4> ,2.5,<4> ,"",<4> ,"",184,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 0:30,1,1,15,"",15.5,<4> ,48,<4> ,996,<4> ,0.9,<4> ,"",<4> ,"",150,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 0:45,1,1,15,"",14.6,<4> ,51,<4> ,996,<4> ,1.4,<4> ,"",<4> ,"",223,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 1:00,1,1,15,"",14.3,<4> ,48,<4> ,996,<4> ,1.3,<4> ,"",<4> ,"",181,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 1:00,1,1,60,"",15.3,<4> ,48,<4> ,996,<4> ,0.9,<4> ,3.5,<4> ,"",191,<4> ,"",<4> ,0.0,<4> ,0.0,<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 1:15,1,1,15,"",15.1,<4> ,45,<4> ,996,<4> ,1.1,<4> ,"",<4> ,"",189,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 1:30,1,1,15,"",14.2,<4> ,54,<4> ,996,<4> ,0.2,<4> ,"",<4> ,"",186,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 1:45,1,1,15,"",14.3,<4> ,51,<4> ,996,<4> ,1.5,<4> ,"",<4> ,"",190,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 2:00,1,1,15,"",14.6,<4> ,51,<4> ,996,<4> ,0.2,<4> ,"",<4> ,"",195,<4> ,"",<4> ,0.0,<4> ,"",<4> ,"",<-1> ,
"owcowmet  ","P",05/01/2001 2:00,1,1,60,"",14.4,<4> ,51,<4> ,996,<4> ,0.9,<4> ,3.5,<4> ,"",193,<4> ,"",<4> ,0.0,<4> ,0.0,<4> ,"",<-1> ,
