"sin_doy","NO3"
0.00348593282970453,0.109098698098389
0.00958618787031833,0.108066367404473
0.0104576290486876,0.107836368721312
0.0122004869163158,0.107769630495827
0.0130719022818987,0.107862618447612
0.0156860861638131,0.107723316111802
0.0191714947976836,0.107468451773393
0.0226566704640621,0.107290815038755
0.0252703738520143,0.1069837543104
0.0296261534935514,0.106967317149805
0.033110376165145,0.106136050331788
0.0383359425374716,0.106556166126604
0.0392067722198712,0.106436520902751
0.0400775721252759,0.106565595232096
0.0418190799596821,0.10599340334067
0.0426897865660328,0.105022236126
0.0510119377186842,0.100782641143522
0.0592262981381077,0.0979438775135296
0.0618359582042761,0.0991536947031254
0.0627057518467627,0.0991366756704386
0.0644451955987524,0.098811568062137
0.0682364911815081,0.0826598772380176
0.0696623310352215,0.0823210650538595
0.0731393719803125,0.0774207578014276
0.0870382256796075,0.073904010521505
0.0887744479178851,0.0736302638457754
0.0907360475720128,0.0731510163655627
0.0939814753881299,0.0711921755347972
0.097468754267789,0.0706410013592187
0.103000810805943,0.0702487504918995
0.106987490858889,0.0694515445230759
0.107853933089734,0.0694294491188707
0.110452765669057,0.0694494519262539
0.111318876298009,0.0694366322180792
0.115648148112111,0.0689111794043519
0.117379246608471,0.0688759158698223
0.119109988513317,0.0688860424413285
0.121705421260148,0.0684532703858636
0.123435248685322,0.0677368494910536
0.133806154612437,0.0678692289188828
0.136396638848132,0.0677158114818699
0.139814645542339,0.067756138271792
0.140712032007285,0.067649840462294
0.144162426830055,0.0671677913637501
0.146749075602252,0.0671492809589408
0.148472951939104,0.066055543109264
0.163966913626147,0.0650499530594181
0.165686044003259,0.0649617607628801
0.167937327376247,0.0648972549774291
0.170840394182773,0.0649857655692362
0.17169900222298,0.0650151643119104
0.187987035626727,0.0644096284385492
0.189698644635059,0.0644259166413769
0.190554233353984,0.0644295481159101
0.192264975972313,0.0643728462187438
0.194829993107198,0.0643552690844317
0.196539265759461,0.0643815276355766
0.198247941336547,0.0645640792672001
0.212746843788345,0.0661223059583366
0.213598297266554,0.0662301270688435
0.214602791628574,0.0659809948741121
0.21615168176562,0.0662864952876822
0.220404030701135,0.0662766311846069
0.221254000889955,0.0662898298342353
0.222953436504227,0.0663153847245743
0.223802900638982,0.0665235144125085
0.229744354165039,0.0761572986346099
0.237370771864748,0.0792706148807582
0.238217258787187,0.0804094073630855
0.240755631447562,0.0795767234195172
0.241601390823307,0.0796661095442226
0.244982586976196,0.079731616876408
0.245827422466931,0.079737119648748
0.246672071255178,0.0787037677416125
0.247516532699438,0.078167596898461
0.248360806158355,0.0780442685578774
0.253422463321716,0.0780049057118258
0.256793060557867,0.0781788938817249
0.26436543271533,0.0783597723310633
0.265205812005906,0.0783266873630855
0.266045989876379,0.0783002756520107
0.270378068551759,0.0788261921452739
0.271921541625496,0.0793401837920022
0.273598421569775,0.0810125041774774
0.274436550169007,0.0810221626283263
0.275274470337519,0.0809082087669282
0.276112181438922,0.0812762535013853
0.278624053978975,0.0814511957118258
0.285313023277923,0.0826369764712965
0.288652327652634,0.0833914608544154
0.289486607262484,0.0831771031174206
0.290320667011306,0.0833418134986665
0.291154506265643,0.083217258081169
0.293654694729693,0.0835935194010289
0.296152875955071,0.0836621286799244
0.297817206539568,0.0837063570274563
0.29864903286578,0.0839191139439568
0.30031200442733,0.0835348182926366
0.30280474957124,0.083512392570928
