"","dep","predictor","MAE","RMSE","NSE","MAE.1","RMSE.1","NSE.1","MAE.2","RMSE.2","NSE.2","MAE.3","RMSE.3","NSE.3"
"1","nh4","met",0.02,0.04,0.44,0.06,0.09,0.54,0.02,0.03,0.54,0.05,0.08,0.63
"2","nh4","wq",0.02,0.03,0.52,0.05,0.07,0.76,0.02,0.03,0.63,0.04,0.06,0.83
"3","nh4","all",0.02,0.03,0.58,0.06,0.09,0.66,0.02,0.03,0.66,0.05,0.08,0.73
"4","po4","met",0.01,0.01,0.63,0.01,0.01,0.32,0.01,0.01,0.63,0.01,0.01,0.39
"5","po4","wq",0.01,0.01,0.71,0.01,0.01,0.39,0.01,0.01,0.72,0,0.01,0.5
"6","po4","all",0.01,0.01,0.71,0,0.01,0.48,0.01,0.01,0.76,0,0.01,0.51
"7","no3","met",0.04,0.06,0.48,0.57,0.98,0.62,0.03,0.06,0.57,0.48,0.9,0.68
"8","no3","wq",0.03,0.04,0.76,0.49,0.82,0.71,0.03,0.04,0.79,0.44,0.8,0.73
"9","no3","all",0.03,0.04,0.79,0.6,1.04,0.63,0.03,0.04,0.76,0.56,0.97,0.68
"10","chla","met",7.14,10.16,0.39,9.92,17.64,0.56,6.61,10.54,0.5,8.31,16.37,0.62
"11","chla","wq",6.84,10.42,0.49,6.21,10.11,0.75,6.86,12.35,0.53,5.62,9.25,0.79
"12","chla","all",6.63,9.98,0.44,6.06,9.16,0.82,6.04,10.4,0.62,5.19,8.48,0.85
