"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcbrnut  ","P",03/22/2018 8:22,0,1,1         ,1         ,"",0.0090,<0>  ,0.023,<0>  ,0.01,<-4> [SBL] ,2.15,<0>  ,"",<-4> [SCB] ,1.602,<0>  ,
"owcbrnut  ","P",03/22/2018 8:23,0,1,1         ,2         ,"",0.0040,<0>  ,0.035,<0>  ,0.01,<-4> [SBL] ,2.116,<0>  ,"",<-4> [SCB] ,1.442,<0>  ,
"owcbrnut  ","P",04/23/2018 8:53,0,1,1         ,1         ,"",0.012,<0>  ,0.062,<1> [SRD] ,0.01,<-4> [SBL] ,1.87,<0>  ,1.877,<0>  ,7.676,<0>  ,
"owcbrnut  ","P",04/23/2018 8:54,0,1,1         ,2         ,"",0.0090,<0>  ,0.019,<0>  ,0.01,<-4> [SBL] ,1.88,<0>  ,1.886,<0>  ,6.675,<0>  ,
"owcbrnut  ","P",05/17/2018 10:55,0,1,1         ,1         ,"",0.0050,<0>  ,0.065,<0>  ,0.013,<0>  ,2.53,<0>  ,2.543,<0>  ,7.049,<0>  ,
"owcbrnut  ","P",05/17/2018 10:56,0,1,1         ,2         ,"",0.01,<0>  ,0.052,<0>  ,0.014,<0>  ,2.47,<0>  ,2.484,<0>  ,6.835,<0>  ,
"owcbrnut  ","P",06/12/2018 8:43,0,1,1         ,1         ,"",0.026,<0>  ,0.122,<0>  ,0.01,<-4> [SBL] ,5.33,<0>  ,"",<-4> [SCB] ,1.202,<0>  ,
"owcbrnut  ","P",06/12/2018 8:44,0,1,1         ,2         ,"",0.024,<0>  ,0.1,<0>  ,0.01,<-4> [SBL] ,5.22,<0>  ,"",<-4> [SCB] ,2.536,<0>  ,
"owcbrnut  ","P",07/10/2018 8:09,0,1,1         ,1         ,"",0.071,<1> [SRD] ,0.164,<1> [SRD] ,0.01,<-4> [SBL] ,0.266,<0>  ,0.269,<0>  ,1.802,<0>  ,
"owcbrnut  ","P",07/10/2018 8:10,0,1,1         ,2         ,"",0.024,<0>  ,0.104,<0>  ,0.01,<-4> [SBL] ,0.256,<0>  ,0.259,<0>  ,2.069,<0>  ,
"owcbrnut  ","P",08/06/2018 8:31,0,1,1         ,1         ,"",0.018,<0>  ,0.083,<0>  ,0.01,<-4> [SBL] ,0.077,<0>  ,0.082,<0>  ,5.696,<0>  ,
"owcbrnut  ","P",08/06/2018 8:32,0,1,1         ,2         ,"",0.017,<0>  ,0.063,<0>  ,0.01,<-4> [SBL] ,0.164,<0>  ,0.17,<0>  ,6.255,<0>  ,
"owcbrnut  ","P",09/06/2018 8:47,0,1,1         ,1         ,"",0.024,<0>  ,0.079,<0>  ,0.01,<-4> [SBL] ,0.314,<0>  ,"",<-4> [SCB] ,1.424,<0>  ,
"owcbrnut  ","P",09/06/2018 8:48,0,1,1         ,2         ,"",0.027,<0>  ,0.06,<0>  ,0.01,<-4> [SBL] ,0.313,<0>  ,"",<-4> [SCB] ,1.869,<0>  ,
"owcbrnut  ","P",10/03/2018 8:05,0,1,1         ,1         ,"",0.032,<0>  ,0.037,<0>  ,0.01,<-4> [SBL] ,1.046,<0>  ,"",<-4> [SCB] ,0.801,<0>  ,
"owcbrnut  ","P",10/03/2018 8:06,0,1,1         ,2         ,"",0.027,<0>  ,0.034,<0>  ,0.01,<-4> [SBL] ,1.037,<0>  ,"",<-4> [SCB] ,-0.534,<-3> [SBL] ,
"owcbrnut  ","P",10/29/2018 8:38,0,1,1         ,2         ,"{CRE}",0.228,<0>  ,0.062,<0>  ,0.01,<-4> [SBL] ,5.56,<0>  ,"",<-4> [SCB] ,7.476,<0>  ,
"owcbrnut  ","P",10/29/2018 14:25,0,1,1         ,1         ,"{CRE}",0.233,<0>  ,0.085,<0>  ,0.01,<-4> [SBL] ,5.503,<0>  ,"",<-4> [SCB] ,7.12,<0>  ,
"owcbrnut  ","P",11/28/2018 9:03,0,1,1         ,1         ,"",0.035,<0>  ,0.035,<0>  ,0.01,<-4> [SBL] ,6.127,<0>  ,"",<-4> [SCB] ,3.814,<0>  ,
"owcbrnut  ","P",11/28/2018 9:05,0,1,1         ,2         ,"",0.037,<0>  ,0.027,<0>  ,0.01,<-4> [SBL] ,4.829,<0>  ,"",<-4> [SCB] ,5.34,<0>  ,

